omop_id,biolink_id
80229,UMLS:C0159628
80232,UMLS:C0159888
80241,UMLS:C0435940
80242,SNOMEDCT:307945003
80249,UMLS:C0272870
80262,UMLS:C0274078
80294,UMLS:C0161022
80295,UMLS:C0274173
80340,UMLS:C1306612
80399,MONDO:0020121
80463,UMLS:C0404619
80467,UMLS:C0405012
80471,MONDO:0045019
80474,UMLS:C0405182
80482,MONDO:0004471
80484,MONDO:0022208
80488,UMLS:C0263730
80492,UMLS:C0343147
80493,MONDO:0002257
80494,UMLS:C0263718
80495,UMLS:C0409661
80496,HP:0030041
80497,UMLS:C1290145
80498,UMLS:C0158125
80502,MONDO:0005298
80504,UMLS:C0158484
80509,MONDO:0019372
80512,UMLS:C0022822
80522,UMLS:C0158760
80523,UMLS:C0265678
80541,UMLS:C0159625
80542,SNOMEDCT:87894003
80552,UMLS:C0435644
80553,UMLS:C1264276
80573,UMLS:C0160956
80576,UMLS:C0160733
80578,UMLS:C0273866
80591,UMLS:C0273855
80592,UMLS:C0160994
80626,UMLS:C3203357
80665,MONDO:0003274
80767,HP:0032408
80778,UMLS:C0405067
80782,UMLS:C0405016
80800,MONDO:0019127
80802,UMLS:C0473754
80807,UMLS:C0158066
80808,UMLS:C0700520
80809,MONDO:0008383
80811,SNOMEDCT:111244008
80813,MONDO:0002253
80815,UMLS:C0158334
80816,MONDO:0011385
80819,UMLS:C0866710
80824,MONDO:0005298
80852,UMLS:C0159621
80854,UMLS:C0272668
80860,UMLS:C0272537
80861,UMLS:C0159647
80862,UMLS:C0435717
80866,UMLS:C0159933
80874,SNOMEDCT:31364005
80879,UMLS:C0160600
80880,UMLS:C0273409
80914,SNOMEDCT:26876007
80946,MONDO:0001699
80951,UMLS:C1290821
81029,MONDO:0001109
81064,MONDO:0006152
81086,UMLS:C0405323
81088,HP:0031109
81097,MONDO:0007603
81099,UMLS:C0263681
81101,UMLS:C0158122
81106,UMLS:C0158485
81112,SNOMEDCT:267953003
81141,UMLS:C0159646
81144,UMLS:C0160081
81148,UMLS:C0159724
81151,UMLS:C0160087
81156,SNOMEDCT:85341001
81169,SNOMEDCT:52877004
81175,UMLS:C0160925
81186,UMLS:C0160943
81195,UMLS:C0161445
81237,UMLS:C1299255
81239,UMLS:C1306609
81247,UMLS:C0686169
81250,MONDO:0004658
81251,MONDO:0021100
81286,UMLS:C0154769
81303,MONDO:0002467
81336,MONDO:0004754
81357,UMLS:C0405068
81358,UMLS:C0156936
81360,UMLS:C0156724
81378,MONDO:0008207
81379,MONDO:0001875
81380,UMLS:C0543612
81382,MONDO:0024686
81383,UMLS:C0409789
81390,MONDO:0019409
81395,UMLS:C0265649
81400,MONDO:0006866
81402,MONDO:0007391
81403,MONDO:0017198
81424,UMLS:C0159977
81426,UMLS:C0159659
81454,UMLS:C0016124
81496,MONDO:0043836
81539,MONDO:0004069
